조회HS,대시보드품목,국가코드,국가,기준월,HS코드,품목명,수출액_USD,수입액_USD,수출중량_KG,수입중량_KG,무역수지_USD
8542,전자집적회로,DK,덴마크,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],113008,0,47,0,113008
8542,전자집적회로,DK,덴마크,2025-01-01,854232,메모리,0,771,0,1,-771
8542,전자집적회로,DK,덴마크,2025-01-01,854239,기타,7815,0,26,0,7815
8542,전자집적회로,EE,에스토니아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],27638,0,20,0,27638
8542,전자집적회로,EE,에스토니아,2025-01-01,854232,메모리,0,76,0,1,-76
8542,전자집적회로,EE,에스토니아,2025-01-01,854290,부분품,516,0,2,0,516
8542,전자집적회로,EG,이집트,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],935119,23551,529,2,911568
8542,전자집적회로,EG,이집트,2025-01-01,854232,메모리,3282386,0,210,0,3282386
8542,전자집적회로,EG,이집트,2025-01-01,854233,증폭기,36221,0,22,0,36221
8542,전자집적회로,EG,이집트,2025-01-01,854239,기타,502692,0,138,0,502692
8542,전자집적회로,ES,스페인,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],10923,15481,1,1,-4558
8542,전자집적회로,ES,스페인,2025-01-01,854232,메모리,215673,0,20,0,215673
8542,전자집적회로,ES,스페인,2025-01-01,854233,증폭기,3045,0,1,0,3045
8542,전자집적회로,ES,스페인,2025-01-01,854239,기타,2800,12417,6,6,-9617
8542,전자집적회로,ES,스페인,2025-01-01,854290,부분품,32545,195,20,0,32350
8542,전자집적회로,FI,핀란드,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],8228,0,7,0,8228
8542,전자집적회로,FI,핀란드,2025-01-01,854232,메모리,0,1,0,1,-1
8542,전자집적회로,FI,핀란드,2025-01-01,854239,기타,1,534,1,0,-533
8542,전자집적회로,FI,핀란드,2025-01-01,854290,부분품,92806,0,399,0,92806
8542,전자집적회로,FR,프랑스,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],12349770,31190728,1342,2272,-18840958
8542,전자집적회로,FR,프랑스,2025-01-01,854232,메모리,1027899,211667,23,20,816232
8542,전자집적회로,FR,프랑스,2025-01-01,854233,증폭기,20812,88377,13,4,-67565
8542,전자집적회로,FR,프랑스,2025-01-01,854239,기타,152250,303431,41,50,-151181
8542,전자집적회로,FR,프랑스,2025-01-01,854290,부분품,0,313,0,0,-313
8542,전자집적회로,GB,영국,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],233426,82245,77,101,151181
8542,전자집적회로,GB,영국,2025-01-01,854232,메모리,267598,2887,19,2,264711
8542,전자집적회로,GB,영국,2025-01-01,854233,증폭기,2580,1887,4,4,693
8542,전자집적회로,GB,영국,2025-01-01,854239,기타,36418,162112,43,317,-125694
8542,전자집적회로,GB,영국,2025-01-01,854290,부분품,450,0,2,0,450
8542,전자집적회로,HK,홍콩,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],266477569,8470313,81697,3272,258007256
8542,전자집적회로,HK,홍콩,2025-01-01,854232,메모리,501991459,47707724,50799,4615,454283735
8542,전자집적회로,HK,홍콩,2025-01-01,854233,증폭기,1753424,123863,2140,40,1629561
8542,전자집적회로,HK,홍콩,2025-01-01,854239,기타,160635798,8831423,44132,3534,151804375
8542,전자집적회로,HK,홍콩,2025-01-01,854290,부분품,258797,2294,2647,6,256503
8542,전자집적회로,HT,아이티,2025-01-01,854239,기타,0,52,0,0,-52
8542,전자집적회로,HU,헝가리,2025-01-01,854232,메모리,1661600,0,140,0,1661600
8542,전자집적회로,HU,헝가리,2025-01-01,854233,증폭기,57214,0,2,0,57214
8542,전자집적회로,HU,헝가리,2025-01-01,854239,기타,1923,1978,12,1,-55
8542,전자집적회로,ID,인도네시아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],15064653,1123379,5545,786,13941274
8542,전자집적회로,ID,인도네시아,2025-01-01,854232,메모리,15109919,224010,683,4,14885909
8542,전자집적회로,ID,인도네시아,2025-01-01,854233,증폭기,207007,0,38,0,207007
8542,전자집적회로,ID,인도네시아,2025-01-01,854239,기타,3542675,3568975,2234,2023,-26300
8542,전자집적회로,ID,인도네시아,2025-01-01,854290,부분품,73862,240,790,68,73622
8542,전자집적회로,IE,아일랜드,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],4072,394110,6,15,-390038
8542,전자집적회로,IE,아일랜드,2025-01-01,854239,기타,1400,427543,4,23,-426143
8542,전자집적회로,IL,이스라엘,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],870579,120874,340,11,749705
8542,전자집적회로,IL,이스라엘,2025-01-01,854232,메모리,209712,26,15,1,209686
8542,전자집적회로,IL,이스라엘,2025-01-01,854233,증폭기,6950,21074,4,4,-14124
8542,전자집적회로,IL,이스라엘,2025-01-01,854239,기타,7673,415538,32,39,-407865
8542,전자집적회로,IL,이스라엘,2025-01-01,854290,부분품,0,2601,0,0,-2601
8542,전자집적회로,IN,인도,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],140931999,2107,23030,1,140929892
8542,전자집적회로,IN,인도,2025-01-01,854232,메모리,116166205,2072368,3379,42,114093837
8542,전자집적회로,IN,인도,2025-01-01,854233,증폭기,1014196,0,627,0,1014196
8542,전자집적회로,IN,인도,2025-01-01,854239,기타,14875714,90141,7707,42,14785573
8542,전자집적회로,IN,인도,2025-01-01,854290,부분품,6094,0,61,0,6094
8542,전자집적회로,IT,이탈리아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],2015511,3190024,411,217,-1174513
8542,전자집적회로,IT,이탈리아,2025-01-01,854232,메모리,227523,3,8,0,227520
8542,전자집적회로,IT,이탈리아,2025-01-01,854233,증폭기,30744,0,3,0,30744
8542,전자집적회로,IT,이탈리아,2025-01-01,854239,기타,178921,7031,112,8,171890
8542,전자집적회로,IT,이탈리아,2025-01-01,854290,부분품,6525,3648,17,20,2877
8542,전자집적회로,JP,일본,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],23305848,702033708,7504,11066,-678727860
8542,전자집적회로,JP,일본,2025-01-01,854232,메모리,26927564,1176549,1608,250,25751015
8542,전자집적회로,JP,일본,2025-01-01,854233,증폭기,60377,68122,153,71,-7745
8542,전자집적회로,JP,일본,2025-01-01,854239,기타,2855605,16704121,1172,17128,-13848516
8542,전자집적회로,JP,일본,2025-01-01,854290,부분품,237901,646523,2716,6171,-408622
8542,전자집적회로,KG,키르기스스탄,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],0,40797,0,60,-40797
8542,전자집적회로,LT,리투아니아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],1,0,0,0,1
8542,전자집적회로,LT,리투아니아,2025-01-01,854239,기타,9000,0,2,0,9000
8542,전자집적회로,MA,모로코,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],0,477811,0,225,-477811
8542,전자집적회로,MA,모로코,2025-01-01,854233,증폭기,0,139199,0,152,-139199
8542,전자집적회로,MA,모로코,2025-01-01,854239,기타,0,2413474,0,2658,-2413474
8542,전자집적회로,MA,모로코,2025-01-01,854290,부분품,121897,0,2472,0,121897
8542,전자집적회로,MM,미얀마,2025-01-01,854239,기타,0,551,0,0,-551
8542,전자집적회로,MR,모리타니,2025-01-01,854239,기타,0,7796,0,8,-7796
8542,전자집적회로,MT,몰타,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],1269525,12351846,837,2022,-11082321
8542,전자집적회로,MT,몰타,2025-01-01,854239,기타,46938,152576,235,24,-105638
8542,전자집적회로,MT,몰타,2025-01-01,854290,부분품,148534,0,809,0,148534
8542,전자집적회로,MX,멕시코,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],2834442,3151608,7214,961,-317166
8542,전자집적회로,MX,멕시코,2025-01-01,854232,메모리,6084120,65973,427,68,6018147
8542,전자집적회로,MX,멕시코,2025-01-01,854233,증폭기,57183,998413,10,461,-941230
8542,전자집적회로,MX,멕시코,2025-01-01,854239,기타,11406347,1245224,7189,874,10161123
8542,전자집적회로,MY,말레이시아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],83369223,72443751,29468,14074,10925472
8542,전자집적회로,MY,말레이시아,2025-01-01,854232,메모리,310694078,13564082,2822,1656,297129996
8542,전자집적회로,MY,말레이시아,2025-01-01,854233,증폭기,23092,1678831,10,1135,-1655739
8542,전자집적회로,MY,말레이시아,2025-01-01,854239,기타,12411382,57213478,17342,20793,-44802096
8542,전자집적회로,MY,말레이시아,2025-01-01,854290,부분품,4646519,9946,65189,41,4636573
8542,전자집적회로,NG,나이지리아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],120750,0,37,0,120750
8542,전자집적회로,NL,네덜란드,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],2556460,236657,1005,8,2319803
8542,전자집적회로,NL,네덜란드,2025-01-01,854232,메모리,1429239,367,124,1,1428872
8542,전자집적회로,NL,네덜란드,2025-01-01,854233,증폭기,0,108421,0,2,-108421
8542,전자집적회로,NL,네덜란드,2025-01-01,854239,기타,108705,50627,160,84,58078
8542,전자집적회로,NL,네덜란드,2025-01-01,854290,부분품,25455,0,73,0,25455
8542,전자집적회로,NO,노르웨이,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],0,210,0,1,-210
8542,전자집적회로,NO,노르웨이,2025-01-01,854233,증폭기,0,14716,0,73,-14716
8542,전자집적회로,NO,노르웨이,2025-01-01,854239,기타,759,7526,3,0,-6767
8542,전자집적회로,NZ,뉴질랜드,2025-01-01,854239,기타,0,10535,0,13,-10535
8542,전자집적회로,PH,필리핀,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],54403924,14477286,29771,9103,39926638
8542,전자집적회로,PH,필리핀,2025-01-01,854232,메모리,69356885,403199,3071,217,68953686
8542,전자집적회로,PH,필리핀,2025-01-01,854233,증폭기,13389,534195,2,519,-520806
8542,전자집적회로,PH,필리핀,2025-01-01,854239,기타,9093901,27488841,6464,10722,-18394940
8542,전자집적회로,PH,필리핀,2025-01-01,854290,부분품,2080539,12250,22971,272,2068289
8542,전자집적회로,PL,폴란드,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],15244158,436,9948,1,15243722
8542,전자집적회로,PL,폴란드,2025-01-01,854232,메모리,2862330,0,789,0,2862330
8542,전자집적회로,PL,폴란드,2025-01-01,854233,증폭기,567082,0,595,0,567082
8542,전자집적회로,PL,폴란드,2025-01-01,854239,기타,6741321,14,3340,0,6741307
8542,전자집적회로,PN,피트카이른,2025-01-01,854239,기타,0,13348,0,2,-13348
8542,전자집적회로,PR,푸에르토리코,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],954,0,0,0,954
8542,전자집적회로,PT,포루투갈,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],6296267,311932,2810,7,5984335
8542,전자집적회로,PT,포루투갈,2025-01-01,854232,메모리,731373,0,39,0,731373
8542,전자집적회로,PT,포루투갈,2025-01-01,854239,기타,0,1769662,0,30,-1769662
8542,전자집적회로,RO,루마니아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],53280,10706,243,4,42574
8542,전자집적회로,RO,루마니아,2025-01-01,854232,메모리,8157,323,0,0,7834
8542,전자집적회로,RO,루마니아,2025-01-01,854239,기타,23790,0,48,0,23790
8542,전자집적회로,RS,세르비아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],305592,0,86,0,305592
8542,전자집적회로,RS,세르비아,2025-01-01,854239,기타,1317653,205,739,1,1317448
8542,전자집적회로,SE,스웨덴,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],3633278,290913,1692,1,3342365
8542,전자집적회로,SE,스웨덴,2025-01-01,854232,메모리,0,56,0,0,-56
8542,전자집적회로,SE,스웨덴,2025-01-01,854233,증폭기,5129,0,4,0,5129
8542,전자집적회로,SE,스웨덴,2025-01-01,854239,기타,29109,0,11,0,29109
8542,전자집적회로,SE,스웨덴,2025-01-01,854290,부분품,0,1421,0,0,-1421
8542,전자집적회로,SG,싱가포르,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],242554326,283597582,57917,10696,-41043256
8542,전자집적회로,SG,싱가포르,2025-01-01,854232,메모리,10136076,27908966,1737,1141,-17772890
8542,전자집적회로,SG,싱가포르,2025-01-01,854233,증폭기,4737,4491807,3,326,-4487070
8542,전자집적회로,SG,싱가포르,2025-01-01,854239,기타,6566402,17527667,34129,6490,-10961265
8542,전자집적회로,SG,싱가포르,2025-01-01,854290,부분품,899338,2913,22059,180,896425
8542,전자집적회로,SI,슬로베니아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],0,242,0,0,-242
8542,전자집적회로,SI,슬로베니아,2025-01-01,854239,기타,0,9678,0,6,-9678
8542,전자집적회로,SK,슬로바키아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],15786,0,53,0,15786
8542,전자집적회로,SK,슬로바키아,2025-01-01,854232,메모리,71092,0,6,0,71092
8542,전자집적회로,SK,슬로바키아,2025-01-01,854233,증폭기,3132,0,5,0,3132
8542,전자집적회로,SK,슬로바키아,2025-01-01,854239,기타,102330,19,101,0,102311
8542,전자집적회로,SV,엘살바도르,2025-01-01,854239,기타,0,2932,0,2,-2932
8542,전자집적회로,SZ,스와질랜드,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],0,40818,0,15,-40818
8542,전자집적회로,TH,태국,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],29373915,12779501,24816,7318,16594414
8542,전자집적회로,TH,태국,2025-01-01,854232,메모리,10247886,1446666,1389,270,8801220
8542,전자집적회로,TH,태국,2025-01-01,854233,증폭기,18946,639763,26,252,-620817
8542,전자집적회로,TH,태국,2025-01-01,854239,기타,13660641,31915342,11971,11600,-18254701
8542,전자집적회로,TH,태국,2025-01-01,854290,부분품,3674492,47469,47754,373,3627023
8542,전자집적회로,TL,티모르,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],0,47,0,1,-47
8542,전자집적회로,TM,투르크멘,2025-01-01,854239,기타,0,225,0,0,-225
8542,전자집적회로,TR,튀르키예,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],620966,50538,68,10,570428
8542,전자집적회로,TR,튀르키예,2025-01-01,854232,메모리,2954606,55,94,0,2954551
8542,전자집적회로,TR,튀르키예,2025-01-01,854233,증폭기,129277,0,42,0,129277
8542,전자집적회로,TR,튀르키예,2025-01-01,854239,기타,879272,2070,132,1,877202
8542,전자집적회로,TW,대만,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],156373889,1348327038,56138,103518,-1191953149
8542,전자집적회로,TW,대만,2025-01-01,854232,메모리,1035692987,51108405,16855,8690,984584582
8542,전자집적회로,TW,대만,2025-01-01,854233,증폭기,14220,6115930,2,1627,-6101710
8542,전자집적회로,TW,대만,2025-01-01,854239,기타,90548879,228402102,11431,43410,-137853223
8542,전자집적회로,TW,대만,2025-01-01,854290,부분품,4846268,967216,58539,1294,3879052
